,Set,Point,Area,GCP,Projections,Control_or_Check,Error_(m),Squared_Residual,Enable,X/Longitude,Y/Latitude,Z/Altitude,Easting,Northing,X_error,Y_error,Z_error,X_est,Y_est,Z_est
168,GroupB,3,Channel,T3,217.0,Check Point,0.032199,0.001036775601,0.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.028267,0.015271999999999999,-0.002128,-106.18682700000001,38.733321999999994,2763.7488719999997
170,GroupB,3,Channel,DT1,15.0,Check Point,0.029726,0.0008836350759999999,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.022053,-0.0018579999999999998,0.019846000000000003,-106.183008,38.730469,2670.855846
172,GroupB,3,Channel,DT3,153.0,Check Point,0.05271,0.0027783441,0.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.021373,-0.028666000000000004,-0.038727,-106.184471,38.731237,2683.1392730000002
173,GroupB,3,Channel,DT4,239.0,Check Point,0.034841000000000004,0.0012138952810000002,0.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.027301,0.004569,0.021159,-106.185428,38.732221,2711.968159
174,GroupB,3,Channel,DT5,209.0,Check Point,0.056323000000000005,0.0031722803290000004,0.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.02155,-0.009028,0.051248,-106.185148,38.733289,2792.923248
175,GroupB,3,Channel,RD1,0.0,Check Point,,,0.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,,,,,,
176,GroupB,3,Channel,RD2,14.0,Check Point,0.048684,0.0023701318559999998,0.0,-106.185627,38.735308,3038.103,396951.4525081234,4288071.292555918,-0.027349000000000002,0.007998,-0.039474,-106.185627,38.735309,3038.0635260000004
177,GroupB,3,Channel,RD3,56.0,Check Point,0.035711,0.001275275521,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,-0.024712,0.0006230000000000001,-0.025772000000000003,-106.187577,38.736354999999996,3028.432228
179,GroupB,3,Channel,RD5,8.0,Check Point,0.033766000000000004,0.0011401427560000003,0.0,-106.189552,38.735007,3128.597,396609.8671470645,4288042.315433306,-0.026619,0.015676,-0.013632,-106.189552,38.735007,3128.583368
169,GroupB,3,Channel,T4,194.0,Control Point,0.020822999999999998,0.0004335973289999999,1.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,-0.007723999999999999,0.012546999999999999,0.014713999999999998,-106.18664799999999,38.73335,2759.112714
171,GroupB,3,Channel,DT2,81.0,Control Point,0.012715,0.00016167122500000003,1.0,-106.183741,38.730512,2658.782,397108.4980586996,4287536.953603285,0.007608,-0.010181,-0.000346,-106.183741,38.730512,2658.781654
178,GroupB,3,Channel,RD4,49.0,Control Point,0.004736,2.2429696e-05,1.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.0005650000000000001,-0.002793,0.003783,-106.188271,38.73666,3012.203783
48,GroupA,3,Entire Basin,T3,217.0,Check Point,0.05202999999999999,0.0027071208999999994,0.0,-106.186826,38.733321000000004,2763.751,396844.38007787336,4287852.142968999,-0.018149000000000002,0.03822,0.030281,-106.18682700000001,38.733321999999994,2763.781281
49,GroupA,3,Entire Basin,T4,194.0,Check Point,0.058812,0.0034588513440000006,0.0,-106.18664799999999,38.73335,2759.098,396859.8935383171,4287855.160595846,0.0024739999999999996,0.034994,0.047204,-106.18664799999999,38.73335,2759.145204
50,GroupA,3,Entire Basin,DT1,15.0,Check Point,0.036386,0.0013239409960000002,0.0,-106.183008,38.730469,2670.836,397172.1512099126,4287531.358390766,-0.024621,0.00406,0.026482,-106.183008,38.730469,2670.862482
52,GroupA,3,Entire Basin,DT3,153.0,Check Point,0.038333,0.001469418889,0.0,-106.184471,38.731238,2683.178,397046.0862232649,4287618.339250248,-0.022986000000000003,-0.01377,-0.027412,-106.184471,38.731238,2683.150588
53,GroupA,3,Entire Basin,DT4,239.0,Check Point,0.053702,0.002883904804,0.0,-106.185427,38.732221,2711.947,396964.40064872376,4287728.499324151,-0.024124,0.024243999999999998,0.041402999999999995,-106.185428,38.732222,2711.9884030000003
54,GroupA,3,Entire Basin,DT5,209.0,Check Point,0.08296100000000001,0.006882527521000001,0.0,-106.185148,38.733289,2792.872,396990.18577877176,4287846.702616913,-0.012051000000000001,0.003034,0.082025,-106.185148,38.733289,2792.954025
55,GroupA,3,Entire Basin,RD1,0.0,Check Point,,,0.0,-106.184027,38.73474,3036.657,397089.705397536,4288006.461182902,,,,,,
57,GroupA,3,Entire Basin,RD3,56.0,Check Point,0.035911,0.0012895999209999998,0.0,-106.187577,38.736354999999996,3028.458,396783.47042138217,4288189.676168607,0.008904,-0.006647,0.034149,-106.187577,38.736354999999996,3028.4921489999997
58,GroupA,3,Entire Basin,RD4,49.0,Check Point,0.07971,0.0063536841000000005,0.0,-106.188271,38.73666,3012.2,396723.58982239134,4288224.305086758,0.037974,-0.005992,0.069827,-106.188271,38.736659,3012.269827
